id,ranking,korTitle,releaseData,sales,audience,nation,producer,year,poster
1,1,웰컴 투 동막골,20050804,40328508500,6436508,한국,(주)쇼박스,2005,http://file.koreafilm.or.kr/thm/02/00/03/32/tn_DPK06630A.jpg
2,2,가문의 위기(가문의 영광2),20050907,28622355500,4529876,한국,(주)쇼박스,2005,http://file.koreafilm.or.kr/thm/02/00/03/31/tn_DPK06673A.jpg
3,3,말아톤,20050127,26284943000,4196840,한국,(주)쇼박스,2005,http://file.koreafilm.or.kr/thm/02/00/03/54/tn_DPK06513A.jpg
4,4,해리포터와 불의 잔,20051201,20628374500,3301353,미국,워너브러더스 코리아(주),2005,http://file.koreafilm.or.kr/thm/02/00/02/69/tn_DPF006783.JPG
5,5,아일랜드,20050721,20363994500,3218811,미국,워너브러더스 코리아(주),2005,http://file.koreafilm.or.kr/thm/02/00/02/63/tn_DPF006371.JPG
6,6,공공의 적 2,20050127,20091127000,3134421,한국,(주)시네마서비스,2005,http://file.koreafilm.or.kr/thm/02/00/03/54/tn_DPK06509A.jpg
7,7,친절한 금자씨,20050729,20483051393,3119682,한국,씨제이엔터테인먼트,2005,http://file.koreafilm.or.kr/thm/02/00/03/32/tn_DPK06626A.jpg
8,8,태풍,20051214,19372557600,3035086,한국,씨제이엔터테인먼트,2005,http://file.koreafilm.or.kr/thm/02/00/00/90/tn_DPK002632.jpg
9,9,미스터 & 미세스 스미스,20050616,18900071500,2963193,미국,이십세기폭스필름코퍼레이션,2005,http://file.koreafilm.or.kr/thm/02/00/02/64/tn_DPF006438.JPG
10,10,너는 내 운명,20050923,17653752500,2701230,한국,씨제이엔터테인먼트,2005,http://file.koreafilm.or.kr/thm/02/00/03/32/tn_DPK06678A.jpg
11,1,괴물,20060727,66715713300,10917153,한국,(주)쇼박스,2006,http://file.koreafilm.or.kr/thm/02/00/01/05/tn_DPK002911.jpg
12,2,왕의 남자,20051229,61605851900,9793917,한국,(주)시네마서비스,2006,http://file.koreafilm.or.kr/thm/02/00/03/31/tn_DPK06750A.jpg
13,3,타짜,20060928,36180800700,5685441,한국,씨제이엔터테인먼트,2006,http://file.koreafilm.or.kr/thm/02/00/03/82/tn_DPK07435A.jpg
14,4,미션 임파서블 3,20060503,32154883400,5127003,미국,UIP코리아,2006,http://file.koreafilm.or.kr/thm/02/00/02/55/tn_DPF005962.JPG
15,5,투사부일체,20060119,31959686000,5074314,한국,씨제이엔터테인먼트,2006,http://file.koreafilm.or.kr/thm/02/00/03/31/tn_DPK06761A.jpg
16,6,캐리비안의 해적 : 망자의 함,20060706,23832939000,3911617,미국,브에나비스타인터내셔널코리아,2006,http://file.koreafilm.or.kr/thm/02/00/02/55/tn_DPF005958.JPG
17,7,한반도,20060713,20597497600,3331593,한국,씨제이엔터테인먼트,2006,http://file.koreafilm.or.kr/thm/02/00/00/90/tn_DPK002655.jpg
18,8,미녀는 괴로워,20061214,18919439500,3224865,한국,(주)쇼박스,2006,http://file.koreafilm.or.kr/thm/02/00/03/87/tn_DPK07534A.jpg
19,9,다빈치 코드,20060518,18873057800,3022936,미국,소니픽쳐스릴리징코리아,2006,http://file.koreafilm.or.kr/thm/02/00/01/54/tn_DPF002431.JPG
20,10,가문의 부활 - 가문의 영광3,20060921,15996330400,2598859,한국,(주)쇼박스,2006,http://file.koreafilm.or.kr/thm/02/00/03/86/tn_DPK08155A.jpg
21,1,디워,20070801,49339934700,7855441,한국,(주)쇼박스,2007,http://file.koreafilm.or.kr/thm/02/00/03/30/tn_DPK08920A.jpg
22,2,트랜스포머,20070628,47619379338,7389696,미국,씨제이엔터테인먼트,2007,http://file.koreafilm.or.kr/thm/02/00/00/95/tn_DPF000123.jpg
23,3,화려한 휴가,20070725,44098449600,6855300,한국,씨제이엔터테인먼트,2007,http://file.koreafilm.or.kr/thm/02/00/03/87/tn_DPK08353A.jpg
24,4,스파이더맨 3,20070501,29511658000,4592309,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007,http://file.koreafilm.or.kr/thm/02/00/00/94/tn_DPF000092.jpg
25,5,캐리비안의 해적: 세상의 끝에서,20070523,29133447500,4571229,미국,한국소니픽쳐스릴리징브에나비스타영화㈜,2007,http://file.koreafilm.or.kr/thm/02/00/00/95/tn_DPF000113.jpg
26,6,해리 포터와 불사조 기사단,20070711,22899775300,3691060,미국,워너브러더스 코리아(주),2007,http://file.koreafilm.or.kr/thm/02/00/00/95/tn_DPF000126.jpg
27,7,다이 하드 4 : 죽어도 산다,20070717,20622308900,3176937,미국,이십세기폭스필름코퍼레이션,2007,http://file.koreafilm.or.kr/thm/02/00/00/95/tn_DPF000127.jpg
28,8,그놈 목소리,20070201,17598617600,2972299,한국,씨제이엔터테인먼트,2007,http://file.koreafilm.or.kr/thm/02/00/03/31/tn_DPK08153A.jpg
29,9,식객,20071101,18972140500,2963196,한국,씨제이엔터테인먼트,2007,http://file.koreafilm.or.kr/thm/02/00/03/79/tn_DPK08520A.jpg
30,10,300,20070314,18683698500,2929561,미국,워너브러더스 코리아(주),2007,http://file.koreafilm.or.kr/thm/02/00/00/91/tn_DPF000044.jpg
31,1,"좋은 놈, 나쁜 놈, 이상한 놈",20080717,43747552000,6684933,한국,씨제이엔터테인먼트,2008,http://file.koreafilm.or.kr/thm/02/00/01/06/tn_DPK002938.jpg
32,2,추격자,20080214,33986959000,5046096,한국,(주)쇼박스,2008,http://file.koreafilm.or.kr/thm/02/00/03/79/tn_DPK09422A.jpg
33,3,쿵푸 팬더,20080605,29996476000,4653929,미국,씨제이엔터테인먼트,2008,http://file.koreafilm.or.kr/thm/02/00/01/06/tn_DPF000555.jpg
34,4,맘마미아!,20080903,29571255750,4552475,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,http://file.koreafilm.or.kr/thm/02/00/01/12/tn_DPF000641.jpg
35,5,과속스캔들,20081203,28506879500,4361509,한국,롯데쇼핑㈜롯데엔터테인먼트,2008,http://file.koreafilm.or.kr/thm/02/00/03/80/tn_DPK09869A.jpg
36,6,강철중: 공공의 적 1-1,20080619,28638460100,4313101,한국,"씨제이엔터테인먼트,(주)시네마서비스",2008,http://file.koreafilm.or.kr/thm/02/00/01/04/tn_DPK002902.jpg
37,7,아이언맨,20080430,27798047000,4290816,미국,씨제이엔터테인먼트,2008,http://file.koreafilm.or.kr/thm/02/00/01/04/tn_DPK002902.jpg
38,8,인디아나 존스 4 : 크리스탈 해골의 왕국,20080522,26689440000,4111753,미국,씨제이엔터테인먼트,2008,http://file.koreafilm.or.kr/thm/02/00/01/04/tn_DPF000532.jpg
39,9,미이라 3:황제의 무덤,20080730,26217311000,4090885,미국,유니버설픽쳐스인터내셔널 코리아(유),2008,http://file.koreafilm.or.kr/thm/02/00/01/08/tn_DPF000608.jpg
40,10,다크 나이트,20080806,26878184500,4060490,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2008,http://file.koreafilm.or.kr/thm/02/00/01/08/tn_DPF000611.jpg
41,1,해운대,20090722,81025004000,11324433,한국,씨제이엔터테인먼트,2009,http://file.koreafilm.or.kr/thm/02/00/03/83/tn_DPK10097A.jpg
42,2,국가대표,20090729,57570773000,8035181,한국,(주)쇼박스,2009,http://file.koreafilm.or.kr/thm/02/00/03/97/tn_DPK10130A.jpg
